left_gas,left_glu,left_hab,left_had,left_ham,left_hf,left_sol,left_ta,left_vas,right_gas,right_glu,right_hab,right_had,right_ham,right_hf,right_sol,right_ta,right_vas
0,10.5665,30,44.9997,58.2343,2153.02,0,223.802,19.2713,253.399,152.272,30,44.9997,282.194,24.3746,1294.14,57.0635,2233.68
0,0,30,44.9997,36.9681,2798.28,0,181.906,0,175.078,89.9976,30,44.9997,185.791,21.1017,1036.54,94.1441,2292.39
0,0,30,44.9997,30.4687,3442.02,0,142.665,0,118.045,87.353,30,44.9997,124.701,21.0383,921.654,107.295,2519.92
6.03028,0,30,44.9997,33.3824,3824.01,0,116.454,0,145.264,138.348,30,44.9997,93.9041,15.6344,1391.19,46.0604,2984.4
54.4015,0,30,44.9997,36.3472,4350.03,1.04872,100.252,0,103.69,136.052,30,44.9997,78.4647,15.3139,1385.21,49.1374,3251.19
133.158,0,30,44.9997,34.869,5468.24,12.3333,90.9202,0,55.651,117.411,30,44.9997,67.7555,22.6903,1089.55,84.5012,3271.13
228.627,0,30,44.9997,32.74,7303.22,21.8772,92.5195,0,85.3081,77.1208,30,44.9997,58.5486,17.8051,1365.52,50.7971,3334.44
331.742,0,30,44.9997,31.6541,8868.86,37.8328,88.6094,0,96.0287,69.6516,30,44.9997,55.4136,18.6828,1535.69,37.1513,3448.75
400.389,0,30,44.9997,33.496,8685.76,66.3789,78.463,0,40.8921,103.49,30,44.9997,61.9922,14.7475,1158.3,71.1804,3664.4
443.993,0,30,44.9997,33.1516,7575.88,109.621,66.137,0,45.9332,97.3422,30,44.9997,71.5253,14.5248,1281.23,56.0482,3771.3
498.789,0,30,44.9997,26.8528,6550.03,185.079,50.1158,0,88.4566,80.4819,30,44.9997,77.5811,21.9373,1634.35,27.0989,3725.53
560.046,0,30,44.9997,20.4074,5801.69,243.257,37.8732,0,64.7429,47.8052,30,44.9997,78.7351,20.16,1262.28,60.0563,3588.48
620.202,0,30,44.9997,16.9611,5115.23,301.037,29.8587,0,60.4166,36.8346,30,44.9997,76.4317,23.1739,1108.22,60.4381,3565.72
676.957,0,30,44.9997,15.8394,4389.99,359.005,24.979,0,112.744,40.6269,30,44.9997,73.7293,19.6999,1513.87,24.3505,3636.28
728.049,0,30,44.9997,15.6362,3705.72,406.444,23.0905,0,86.7628,49.332,30,44.9997,73.2637,18.577,1341.99,38.7151,3703.29
770.286,0,30,44.9997,15.031,3173.91,432.251,24.09,0,51.5103,50.6622,30,44.9997,73.1203,19.5635,1031.95,54.8005,3737.78
