left_gas,left_glu,left_hab,left_had,left_ham,left_hf,left_sol,left_ta,left_vas,right_gas,right_glu,right_hab,right_had,right_ham,right_hf,right_sol,right_ta,right_vas
0.0820172,0.0224629,0.01,0.01,0.0748516,0.893669,0.0374641,0.207308,0.0100024,0.0742476,0.106165,0.01,0.01,0.152164,0.014345,0.50812,0.177824,0.961693
0.0843156,0.0212712,0.01,0.01,0.0686506,0.903836,0.0389081,0.211623,0.0100022,0.0978229,0.0990274,0.01,0.01,0.145018,0.0139296,0.522427,0.164009,0.965356
0.0875056,0.0201935,0.01,0.01,0.0630426,0.913031,0.0409304,0.215173,0.0107964,0.129444,0.0923742,0.01,0.01,0.138355,0.0135538,0.532738,0.151279,0.968669
0.0920077,0.0192188,0.01,0.01,0.0579708,0.921347,0.0433718,0.217973,0.0123188,0.168828,0.0861792,0.01,0.01,0.132149,0.013214,0.539364,0.13963,0.971665
0.0972825,0.0183373,0.01,0.01,0.0533839,0.928867,0.0460533,0.220085,0.0143103,0.214217,0.0804164,0.01,0.01,0.126376,0.0129067,0.542499,0.129068,0.974374
0.102555,0.0175401,0.01,0.01,0.0492356,0.935669,0.0487842,0.2216,0.0169295,0.263865,0.0750604,0.01,0.01,0.121009,0.0126288,0.542183,0.11962,0.976824
0.107518,0.0168192,0.01,0.01,0.045484,0.94182,0.0514016,0.222617,0.0208296,0.317529,0.0700867,0.01,0.01,0.116024,0.0123774,0.538918,0.111202,0.978709
0.112227,0.0161671,0.01,0.01,0.0420911,0.947383,0.0537215,0.223249,0.0264768,0.374853,0.0654719,0.01,0.01,0.111399,0.0121501,0.533366,0.103684,0.972931
0.116656,0.0155774,0.01,0.01,0.0390226,0.952414,0.0555806,0.223608,0.0334474,0.432815,0.0611932,0.01,0.01,0.107109,0.0119445,0.525502,0.0970833,0.960891
0.120489,0.0150441,0.01,0.01,0.0362475,0.956964,0.0569465,0.22378,0.0408763,0.487048,0.057229,0.01,0.01,0.103135,0.0117586,0.515605,0.0913429,0.944116
0.123294,0.0145618,0.01,0.01,0.0337378,0.961079,0.0578681,0.22383,0.0480628,0.536095,0.0535587,0.01,0.01,0.099454,0.0116088,0.504762,0.0862205,0.924642
0.124838,0.0141256,0.01,0.01,0.031468,0.964801,0.0583709,0.223853,0.0545499,0.580453,0.0501628,0.01,0.01,0.0960481,0.0115506,0.49288,0.0817331,0.9044
0.125218,0.0137312,0.01,0.01,0.0294153,0.968166,0.0584704,0.223994,0.0601189,0.620569,0.0470226,0.01,0.01,0.0928983,0.0115676,0.47993,0.0778807,0.884371
0.124626,0.0133744,0.01,0.01,0.0275589,0.97121,0.0582067,0.224369,0.0648002,0.656849,0.0441205,0.01,0.01,0.0899871,0.0116455,0.467178,0.074371,0.864852
0.123237,0.0130517,0.01,0.01,0.0258799,0.973963,0.0576315,0.225078,0.0686749,0.689661,0.0414401,0.01,0.01,0.087298,0.0117723,0.45442,0.0712386,0.846055
