joints_angle1_ANGLE_HIP_LEFT,joints_angle1_ANGLE_HIPCOR_LEFT,joints_angle1_ANGLE_KNEE_LEFT,joints_angle1_ANGLE_ANKLE_LEFT,joints_angle1_ANGLE_HIP_RIGHT,joints_angle1_ANGLE_HIPCOR_RIGHT,joints_angle1_ANGLE_KNEE_RIGHT,joints_angle1_ANGLE_ANKLE_RIGHT,energy1_energy,footfall1_left,footfall1_right,distance1_distance
-0.474811,-5.8756899999999986e-05,0.319902,0.018173,-0.558674,-0.000127399,1.21944,0.011829,78.8428,1,0,0.23251
-0.472738,-5.87923e-05,0.319506,0.0171559,-0.561954,-0.000127544,1.22266,0.0104969,79.1035,1,0,0.233698
-0.4706520000000001,-5.88274e-05,0.319091,0.0161469,-0.565208,-0.000127683,1.2258,0.00920879,79.3633,1,0,0.234886
-0.468553,-5.88622e-05,0.318659,0.0151453,-0.5684359999999999,-0.000127817,1.22885,0.00796482,79.6225,1,0,0.23607399999999998
-0.4664430000000001,-5.88965e-05,0.318208,0.0141507,-0.571638,-0.000127946,1.23182,0.00676545,79.8806,1,0,0.237263
-0.464321,-5.89309e-05,0.31774,0.0131621,-0.574816,-0.00012806799999999998,1.2347,0.00561181,80.1382,1,0,0.238452
-0.462188,-5.89646e-05,0.317253,0.0121798,-0.577969,-0.000128186,1.23751,0.00450525,80.3946,1,0,0.239641
-0.460046,-5.899810000000003e-05,0.316749,0.011202600000000002,-0.5811,-0.000128298,1.24023,0.0034477,80.6507,1,0,0.24083000000000002
-0.4578930000000001,-5.90306e-05,0.316226,0.010231,-0.5842069999999999,-0.000128404,1.24287,0.00244112,80.9053,1,0,0.24201999999999999
-0.455732,-5.90628e-05,0.315687,0.00926377,-0.5872930000000001,-0.000128506,1.24544,0.00148798,81.1598,1,0,0.243211
-0.453561,-5.90937e-05,0.315129,0.00830155,-0.590357,-0.000128603,1.24792,0.0005905519999999999,81.4125,1,0,0.24440100000000003
-0.451383,-5.912430000000001e-05,0.31455500000000003,0.00734306,-0.5934010000000001,-0.000128694,1.25033,-0.000248523,81.6653,1,0,0.24559299999999998
-0.449196,-5.91533e-05,0.313963,0.00638916,-0.596424,-0.000128782,1.25265,-0.00102701,81.9161,1,0,0.246784
-0.447004,-5.91818e-05,0.313356,0.00543848,-0.599428,-0.000128864,1.2549,-0.00174242,82.1674,1,0,0.247977
-0.444805,-5.92087e-05,0.312732,0.00449207,-0.602412,-0.000128943,1.25708,-0.00239293,82.4163,1,0,0.24916999999999997
-0.4426020000000001,-5.92349e-05,0.312094,0.00354848,-0.605379,-0.000129018,1.25917,-0.00297659,82.666,1,0,0.250363
-0.440392,-5.92595e-05,0.31144,0.0026089000000000004,-0.608326,-0.00012908899999999998,1.2612,-0.00349231,82.9132,1,0,0.25155700000000003
-0.43818,-5.92834e-05,0.310772,0.00167182,-0.6112569999999999,-0.000129156,1.26314,-0.00393901,83.1613,1,0,0.252752
